Element_Name,Fact_ID,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
AccountsReceivableNet,Fact000044,2317000.0,USD,false,AsOf2025-06-30_us-gaap_NonrelatedPartyMember,0000923601,,,2025-06-30 00:00:00,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2025-06-30,2025-06-30,xbrl,-4988920.0
AccruedLiabilitiesCurrent,Fact000099,3295000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2025-06-30,2025-06-30,xbrl,681000.0
AccruedLiabilitiesCurrentAndNoncurrent,Fact001001,509119.0,USD,false,AsOf2025-06-30_custom_BlueYonderIncMember,0000923601,,,2025-06-30 00:00:00,us-gaap,AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:AccruedLiabilitiesCurrentAndNoncurrent_2025-06-30,2025-06-30,xbrl,184119.0
AllowanceForDoubtfulAccountsReceivableCurrent,Fact000047,101000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent_2025-06-30,2025-06-30,xbrl,-38182.0
Assets,Fact000087,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,Assets,us-gaap:Assets_2025-06-30,2025-06-30,xbrl,-15020000.0
AssetsCurrent,Fact000069,7620000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2025-06-30,2025-06-30,xbrl,-15586000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,Fact001673,593000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents_2025-05-02,2025-05-02,xbrl,576000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,Fact001677,377000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets_2025-05-02,2025-05-02,xbrl,364000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,Fact001675,319000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables_2025-05-02,2025-05-02,xbrl,126000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,Fact001683,372000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable_2025-05-02,2025-05-02,xbrl,-2307000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,Fact001685,975000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther_2025-05-02,2025-05-02,xbrl,0.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,Fact001687,442000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet_2025-05-02,2025-05-02,xbrl,-2953000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,Fact001669,2008000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt_2025-05-02,2025-05-02,xbrl,0.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,Fact001681,489000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets_2025-05-02,2025-05-02,xbrl,475000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,Fact001679,11000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment_2025-05-02,2025-05-02,xbrl,8000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,Fact001689,3632000.0,USD,false,AsOf2025-05-02_custom_SMCBAcquisitionMember,0000923601,,,2025-05-02 00:00:00,us-gaap,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet_2025-05-02,2025-05-02,xbrl,0.0
Cash,Fact000041,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,Cash,us-gaap:Cash_2025-06-30,2025-06-30,xbrl,-5569000.0
